,teamID_seasonID,evGGARatio,faceOffWinPercentage,faceOffsLost,faceOffsTaken,faceOffsWon,gamesPlayed_x,goalsAgainstPerGame,goalsPerGame,losses_x,ot,penaltyKillPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,powerPlayPercentage,ptPctg,pts,savePctg,shootingPctg_x,shotsAllowed,shotsPerGame,winLeadFirstPer,winLeadSecondPer,winOppScoreFirst,winOutshootOpp,winOutshotByOpp,winScoreFirst,wins_x,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed_y,giveaways,goalsFor,hits,losses_y,missedShots,otLosses,points,shootingPctg_y,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins_y
0,1_19992000,0.9286,49.3,2632.0,5195.0,2563.0,82,2.476,3.061,24,5,87.5,55.0,39.0,274.0,20.1,62.8,103,0.903,9.2,25.622,33.1341,0.7,0.882,0.459,0.587,0.471,0.622,45,877,0.4933,5195,2632,2563,82,984,251,2146,24,1262,5,103,0.0923,2717,1258,NJD,New Jersey Devils,8,45
1,1_20002001,1.1969,49.4,2662.0,5259.0,2597.0,82,2.378,3.598,19,3,84.6,71.0,49.0,310.0,22.9,67.7,111,0.904,11.4,24.6829,31.5854,0.839,0.921,0.421,0.583,0.684,0.727,48,856,0.4938,5259,2662,2597,82,1011,295,2027,19,1198,3,111,0.1138,2590,1015,NJD,New Jersey Devils,12,48
2,1_20012002,1.1969,49.5,2603.0,5156.0,2553.0,82,2.28,2.5,28,4,83.7,44.0,43.0,261.0,16.9,57.9,95,0.902,8.4,23.1707,29.8171,0.75,0.774,0.275,0.452,0.632,0.714,41,920,0.4951,5156,2603,2553,82,888,205,1983,28,1155,4,95,0.0838,2445,898,NJD,New Jersey Devils,9,41
3,1_20022003,1.3684,50.7,2467.0,5002.0,2535.0,82,2.024,2.634,20,6,87.8,36.0,32.0,303.0,11.9,65.9,108,0.914,8.3,23.5732,31.7195,0.821,0.846,0.353,0.523,0.692,0.708,46,303,0.5067,5002,2467,2535,82,270,216,487,20,371,6,108,0.083,2601,214,NJD,New Jersey Devils,10,46
4,1_20032004,1.2636,49.2,2497.0,4916.0,2419.0,82,2.0,2.598,25,2,85.3,51.0,39.0,312.0,16.4,61.0,100,0.918,8.8,24.4024,29.6707,0.821,0.842,0.176,0.559,0.5,0.771,43,834,0.49200000000000005,4916,2497,2419,82,1073,213,928,25,974,2,100,0.0875,2433,619,NJD,New Jersey Devils,12,43
5,1_20052006,0.986,49.5,2369.0,4691.0,2322.0,82,2.744,2.841,27,9,81.9,78.0,63.0,439.0,17.8,61.6,101,0.906,9.7,29.3049,29.2073,0.844,0.886,0.389,0.543,0.512,0.696,46,989,0.4949,4691,2369,2322,82,987,233,1167,27,1024,9,101,0.0972,2395,660,NJD,New Jersey Devils,0,46
6,1_20062007,0.9481,49.0,2218.0,4350.0,2132.0,82,2.354,2.512,24,9,85.2,65.0,40.0,367.0,17.7,65.2,107,0.917,8.8,28.439,28.7073,0.783,0.912,0.417,0.711,0.538,0.739,49,1127,0.4901,4350,2218,2132,82,854,206,1348,24,1018,9,107,0.0875,2354,642,NJD,New Jersey Devils,0,49
7,1_20072008,1.0246,50.4,2126.0,4286.0,2160.0,82,2.354,2.415,29,7,82.8,50.0,54.0,320.0,15.6,60.4,99,0.914,8.4,27.5244,28.8049,0.806,0.879,0.405,0.609,0.514,0.725,46,830,0.5039,4286,2126,2160,82,515,198,1471,29,907,7,99,0.0838,2362,543,NJD,New Jersey Devils,0,46
8,1_20082009,1.252,51.3,2243.0,4602.0,2359.0,82,2.524,2.902,27,4,79.9,58.0,65.0,307.0,18.9,64.6,106,0.914,8.8,29.4512,32.9024,0.794,0.951,0.368,0.694,0.533,0.841,51,970,0.5126,4602,2243,2359,82,474,238,1448,27,928,4,106,0.0882,2698,431,NJD,New Jersey Devils,0,51
9,1_20092010,1.0896,49.4,2146.0,4244.0,2098.0,82,2.268,2.634,27,7,82.8,51.0,41.0,273.0,18.7,62.8,103,0.916,8.8,26.9878,29.9878,0.813,0.943,0.405,0.542,0.7,0.733,48,963,0.4943,4244,2146,2098,82,695,216,1600,27,815,7,103,0.0878,2459,486,NJD,New Jersey Devils,0,48
10,1_20102011,0.8027,51.2,2085.0,4271.0,2186.0,82,2.524,2.085,39,5,83.4,34.0,40.0,237.0,14.3,49.4,81,0.904,7.3,26.2439,28.5854,0.76,0.917,0.256,0.386,0.545,0.692,38,875,0.5118,4271,2085,2186,82,703,171,1539,39,835,5,81,0.0729,2344,513,NJD,New Jersey Devils,0,38
11,1_20112012,0.9333,47.1,2356.0,4451.0,2095.0,82,2.5,2.634,28,6,89.6,46.0,27.0,267.0,17.2,62.2,102,0.907,9.6,26.8171,27.4756,0.769,0.853,0.421,0.571,0.545,0.727,48,928,0.4706,4451,2356,2095,82,632,216,1677,28,762,6,102,0.0958,2253,486,NJD,New Jersey Devils,0,48
12,1_20122013,0.8553,48.2,1440.0,2779.0,1339.0,48,2.542,2.292,19,10,81.1,28.0,32.0,176.0,15.9,50.0,48,0.89,8.1,23.125,28.375,0.727,0.75,0.172,0.457,0.25,0.737,19,515,0.4818,2779,1440,1339,48,334,110,892,19,558,10,48,0.0807,1362,297,NJD,New Jersey Devils,0,19
13,1_20132014,0.9275,47.0,2450.0,4624.0,2174.0,82,2.378,2.402,29,18,86.4,47.0,36.0,241.0,19.5,53.7,88,0.907,9.0,25.4756,26.8171,0.667,0.759,0.132,0.467,0.364,0.682,35,849,0.4701,4624,2450,2174,82,552,197,1568,29,832,18,88,0.0895,2199,465,NJD,New Jersey Devils,0,35
14,1_20142015,0.9297,47.3,2456.0,4659.0,2203.0,82,2.549,2.146,36,14,80.6,41.0,52.0,212.0,19.3,47.6,78,0.917,8.8,30.7073,24.4878,0.593,0.781,0.216,0.235,0.438,0.533,32,1042,0.4728,4659,2456,2203,82,624,176,1646,36,776,14,78,0.0876,2008,453,NJD,New Jersey Devils,0,32
15,1_20152016,0.8195,46.4,2518.0,4701.0,2183.0,82,2.463,2.22,36,8,83.0,51.0,45.0,256.0,19.9,51.2,84,0.914,9.1,28.6463,24.4268,0.826,0.958,0.234,0.4,0.5,0.771,38,1054,0.4643,4701,2518,2183,82,509,182,1840,36,778,8,84,0.0908,2003,463,NJD,New Jersey Devils,0,38
16,1_20162017,0.7651,49.2,2498.0,4920.0,2422.0,82,2.939,2.195,40,14,79.6,44.0,53.0,251.0,17.5,42.7,70,0.906,7.9,31.3659,27.7927,0.44,0.704,0.22,0.481,0.275,0.463,28,1030,0.4922,4920,2498,2422,82,624,180,1661,40,850,14,70,0.0789,2279,467,NJD,New Jersey Devils,0,28
17,1_20172018,0.9581,47.0,2675.0,5046.0,2371.0,82,2.927,2.963,29,9,81.8,54.0,47.0,252.0,21.4,59.1,97,0.908,9.3,31.9024,31.6951,0.739,0.941,0.395,0.457,0.6,0.692,44,1176,0.4698,5046,2675,2371,82,653,243,1816,29,962,9,97,0.0934,2599,679,NJD,New Jersey Devils,0,44
18,1_20182019,0.7989,49.4,2482.0,4900.0,2418.0,82,3.305,2.671,41,10,84.3,45.0,40.0,254.0,17.7,43.9,72,0.895,8.8,31.6098,30.3415,0.63,0.815,0.167,0.429,0.372,0.543,31,1158,0.4934,4900,2482,2418,82,745,219,1924,41,902,10,72,0.08800000000000001,2488,630,NJD,New Jersey Devils,0,31
19,2_19992000,0.8302,47.9,2888.0,5540.0,2652.0,82,3.354,2.366,48,1,80.0,45.0,84.0,320.0,14.1,35.4,58,0.9,9.0,33.439,26.1829,0.524,0.81,0.163,0.357,0.277,0.485,24,1045,0.4787,5540,2888,2652,82,762,194,2655,48,905,1,58,0.0903,2147,640,NYI,New York Islanders,9,24
20,2_20002001,1.0069,48.7,2762.0,5386.0,2624.0,82,3.268,2.256,51,3,82.2,51.0,79.0,386.0,13.2,31.7,52,0.887,8.2,29.0,27.5244,0.5,0.684,0.085,0.243,0.273,0.486,21,987,0.4871,5386,2762,2624,82,793,185,2638,51,979,3,52,0.0819,2257,617,NYI,New York Islanders,7,21
21,2_20012002,1.0069,51.7,2695.0,5579.0,2884.0,82,2.683,2.915,28,4,85.7,59.0,52.0,363.0,16.2,58.5,96,0.904,10.3,27.8659,28.2805,0.719,0.857,0.333,0.459,0.564,0.633,42,965,0.5169,5579,2695,2884,82,760,239,2119,28,998,4,96,0.10300000000000001,2319,629,NYI,New York Islanders,8,42
22,2_20022003,0.9929,51.1,2742.0,5606.0,2864.0,82,2.817,2.732,34,2,83.4,58.0,67.0,384.0,15.1,50.6,83,0.9,9.2,28.2683,29.5976,0.654,0.824,0.311,0.447,0.4,0.568,35,366,0.5108,5606,2742,2864,82,270,224,626,34,297,2,83,0.0922,2427,227,NYI,New York Islanders,11,35
23,2_20032004,1.1049,49.3,2704.0,5335.0,2631.0,82,2.561,2.89,29,4,85.5,54.0,52.0,323.0,16.7,55.5,91,0.906,10.1,27.3659,28.5488,0.7,0.839,0.256,0.524,0.405,0.692,38,1077,0.4931,5335,2704,2631,82,800,237,1634,29,900,4,91,0.1012,2341,644,NYI,New York Islanders,11,38
