teamID_seasonID,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed,giveaways,goalsFor,hits,losses,missedShots,otLosses,points,shootingPctg,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins
2_19992000,1045,0.4787,5540,2888,2652,82,762,194,2655,48,905,1,58,0.0903,2147,640,NYI,New York Islanders,9,24
6_19992000,828,0.4895,5286,2698,2588,82,763,210,2563,33,979,6,73,0.0834,2516,666,BOS,Boston Bruins,19,24
26_19992000,962,0.5174,5438,2624,2814,82,1225,245,2442,27,1162,4,94,0.1011,2421,681,LAK,Los Angeles Kings,12,39
11_19992000,1079,0.4606,5419,2923,2496,82,787,170,2353,57,913,4,39,0.0803,2115,839,ATL,Atlanta Thrashers,7,14
15_19992000,985,0.5327,5485,2563,2922,82,1172,227,2321,24,939,2,102,0.1,2269,631,WSH,Washington Capitals,12,44
12_19992000,979,0.5037,5382,2671,2711,82,708,217,2291,35,1006,0,84,0.1004,2161,528,CAR,Carolina Hurricanes,10,37
25_19992000,861,0.5257,5518,2617,2901,82,1110,211,2262,23,1132,6,102,0.1005,2099,636,DAL,Dallas Stars,10,43
1_19992000,877,0.4933,5195,2632,2563,82,984,251,2146,24,1262,5,103,0.0923,2717,1258,NJD,New Jersey Devils,8,45
23_19992000,959,0.4983,5432,2725,2707,82,830,227,2141,29,1044,8,83,0.1037,2187,854,VAN,Vancouver Canucks,15,30
3_19992000,1233,0.5312,5124,2402,2722,82,1168,218,2069,38,1023,3,73,0.0902,2416,876,NYR,New York Rangers,12,29
24_19992000,856,0.4907,5563,2833,2730,82,815,217,2042,33,939,3,83,0.0922,2352,836,ANA,Anaheim Ducks,12,34
28_19992000,770,0.4924,5509,2796,2713,82,983,225,2010,30,904,7,87,0.1,2248,566,SJS,San Jose Sharks,10,35
14_19992000,903,0.5041,5651,2802,2849,82,1019,204,1985,47,820,7,54,0.0978,2084,726,TBL,Tampa Bay Lightning,9,19
22_19992000,981,0.5107,5378,2631,2747,82,941,226,1984,26,1191,8,88,0.0978,2310,579,EDM,Edmonton Oilers,16,32
27_19992000,873,0.5034,5297,2630,2667,82,1121,232,1974,31,885,4,90,0.1048,2213,921,PHX,Phoenix Coyotes,8,39
9_19992000,938,0.5034,5462,2712,2750,82,1074,244,1917,28,1092,2,95,0.0944,2584,608,OTT,Ottawa Senators,11,41
20_19992000,1037,0.4923,5526,2805,2721,82,815,211,1913,36,1103,5,77,0.0854,2468,630,CGY,Calgary Flames,10,31
4_19992000,1036,0.5173,5399,2606,2793,82,1147,237,1905,22,1122,3,105,0.0949,2495,838,PHI,Philadelphia Flyers,12,45
13_19992000,908,0.4623,5279,2838,2441,82,1042,244,1864,27,970,6,98,0.111,2198,798,FLA,Florida Panthers,6,43
10_19992000,915,0.508,5352,2633,2719,82,1409,246,1860,27,972,3,100,0.1138,2161,361,TOR,Toronto Maple Leafs,7,45
8_19992000,1041,0.4884,5239,2680,2559,82,1333,196,1828,34,901,4,83,0.0918,2135,864,MTL,Montréal Canadiens,9,35
17_19992000,782,0.5337,5353,2496,2857,82,1092,278,1770,22,1042,2,108,0.1061,2620,552,DET,Detroit Red Wings,10,48
7_19992000,919,0.479,5609,2922,2687,82,1329,213,1745,32,1016,4,85,0.0956,2228,531,BUF,Buffalo Sabres,11,35
5_19992000,917,0.4798,5216,2713,2503,82,1009,241,1704,31,965,6,88,0.1127,2137,403,PIT,Pittsburgh Penguins,8,37
21_19992000,963,0.5151,5354,2596,2758,82,852,233,1674,28,1004,1,96,0.1064,2188,929,COL,Colorado Avalanche,11,42
16_19992000,846,0.475,5280,2772,2508,82,850,242,1606,37,839,2,78,0.1149,2106,427,CHI,Chicago Blackhawks,10,33
19_19992000,821,0.5212,5276,2526,2750,82,1128,248,1512,19,1193,1,114,0.1014,2445,549,STL,St. Louis Blues,11,51
18_19992000,851,0.4908,5122,2608,2514,82,934,199,1437,40,874,7,70,0.0898,2215,569,NSH,Nashville Predators,7,28
2_20002001,987,0.4871,5386,2762,2624,82,793,185,2638,51,979,3,52,0.0819,2257,617,NYI,New York Islanders,7,21
26_20002001,1124,0.5068,5392,2659,2733,82,1168,252,2498,28,1118,3,92,0.1101,2288,571,LAK,Los Angeles Kings,13,38
25_20002001,849,0.5116,5152,2516,2636,82,1394,241,2358,24,1010,2,106,0.1147,2100,592,DAL,Dallas Stars,8,48
28_20002001,780,0.4825,5450,2820,2630,82,1176,217,2335,27,977,3,95,0.0957,2267,584,SJS,San Jose Sharks,12,40
13_20002001,810,0.4852,5379,2769,2610,82,896,200,2274,38,917,9,66,0.0921,2170,566,FLA,Florida Panthers,13,22
17_20002001,833,0.5436,5607,2559,3048,82,1104,253,2217,20,1028,4,111,0.0954,2650,624,DET,Detroit Red Wings,9,49
6_20002001,868,0.4924,5398,2740,2658,82,746,227,2201,30,998,8,88,0.0962,2359,621,BOS,Boston Bruins,8,36
21_20002001,929,0.5133,5649,2749,2900,82,750,270,2161,16,1023,4,118,0.1127,2395,885,COL,Colorado Avalanche,10,52
12_20002001,1061,0.5493,5286,2382,2904,82,753,212,2152,32,1033,3,88,0.0956,2217,626,CAR,Carolina Hurricanes,9,38
3_20002001,1166,0.5116,5220,2549,2671,82,1263,250,2119,43,993,1,72,0.1066,2345,925,NYR,New York Rangers,5,33
10_20002001,955,0.5284,5365,2530,2835,82,1171,232,2075,29,1020,5,90,0.1019,2276,424,TOR,Toronto Maple Leafs,11,37
9_20002001,990,0.4854,5471,2815,2656,82,958,274,2057,21,1036,4,109,0.1106,2476,591,OTT,Ottawa Senators,9,48
1_20002001,856,0.4938,5259,2662,2597,82,1011,295,2027,19,1198,3,111,0.1138,2590,1015,NJD,New Jersey Devils,12,48
23_20002001,1041,0.4685,5555,2952,2603,82,823,239,1982,28,1126,7,90,0.0981,2434,814,VAN,Vancouver Canucks,11,36
24_20002001,850,0.4833,5520,2852,2668,82,761,188,1899,41,865,5,66,0.0885,2123,629,ANA,Anaheim Ducks,11,25
7_20002001,965,0.5,5306,2653,2653,82,1143,218,1890,30,908,1,98,0.0989,2204,503,BUF,Buffalo Sabres,5,46
22_20002001,1193,0.5106,5422,2653,2769,82,1084,243,1879,28,1016,3,93,0.1132,2145,680,EDM,Edmonton Oilers,12,39
15_20002001,919,0.5517,5345,2396,2949,82,1077,233,1874,27,846,4,96,0.0992,2348,717,WSH,Washington Capitals,10,41
5_20002001,928,0.4671,5260,2803,2457,82,945,281,1844,28,973,3,96,0.1173,2394,404,PIT,Pittsburgh Penguins,9,42
27_20002001,895,0.4982,5283,2651,2632,82,1141,214,1836,27,848,3,90,0.1041,2055,871,PHX,Phoenix Coyotes,17,35
20_20002001,911,0.5155,5431,2631,2800,82,826,197,1824,36,1017,4,73,0.0883,2230,503,CGY,Calgary Flames,15,27
8_20002001,996,0.4949,5312,2683,2629,82,1243,206,1822,40,1008,6,70,0.0959,2148,733,MTL,Montréal Canadiens,8,28
